,title,uri,transferOwnershipLog,scenarioLevel,scenarioType,coreFlag,customerImpact,automationScript,estimatedReplayTime,nbActors,definitionLeader,validationLeader,automationLeader,androidAutomationLeader,iOSAutomationLeader,targetDate
0,eDrawings - eDw - Print,,,,,,,,,,,,,,,
1,,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenarios/2CFDB056130F0000656B1AFD000D0EFC,,,,,,,,,,,,,,
2,,,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?><history><entry action=""Transfer ownership from pgh to ykt2"" date=""6 December 2023 19:59 GMT"" user=""pgh""><p>New owner</p></entry></history>",,,,,,,,,,,,,
3,,,,L2,,,,,,,,,,,,
4,,,,,Free_Tests,,,,,,,,,,,
5,,,,,,FALSE,,,,,,,,,,
6,,,,,,,FALSE,,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,2.683,,,,,,,
9,,,,,,,,,,1,,,,,,
10,,,,,,,,,,,ykt2,,,,,
11,,,,,,,,,,,,ykt2,,,,
12,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,SOLIDWORKS_Desktop_2024_SP01-FD01,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/programs/DB6FB05606530000623C776D001C98F2,,,,,,,,,,,,,,
16,eDw - Print,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/objects/DB6FB056CB2B000060AC182B000E7CC4,,,,,,,,,,,,,,
17,eDw-Print: Should pass for UI test case - able to get 'Print' dialog from File menu,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B6100033D92,,,,,,,,,,,,,,
18,eDw-Print: Should pass for UI test case - able to get 'Print' dialog from menu bar shortcut icon,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B630001A6B6,,,,,,,,,,,,,,
19,eDw-Print: Should pass for UI test case - Print range and Quality option should not be accessible when printing sldasm or sldprt file,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B64000B0EC2,,,,,,,,,,,,,,
20,eDw-Print: Should pass for UI test case - Print range and Quality option should not be accessible when printing sldasm or sldprt file,https://dsxdev-online.dsone.3ds.com/enovia/rest/devops/v1/scenariocases/2CFDB056130F0000656B1B680009B82A,,,,,,,,,,,,,,
